Device_Name,Device_ID,Cupon Origen,Cupon Link,utm_campaign,utm_source,utm_seller,Link,Short URL
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,takebilp,,
Mini Chip,21,,TELE_2021,ctw_email,chatbot,takebilp,,
Pro 2,28,,TELE_2021,ctw_email,chatbot,takebilp,,
Smart,27,,TELE_2021,ctw_email,chatbot,takebilp,,
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,callink,,
Mini Chip,21,,TELE_2021,ctw_email,chatbot,callink,,
Pro 2,28,,TELE_2021,ctw_email,chatbot,callink,,
Smart,27,,TELE_2021,ctw_email,chatbot,callink,,
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,actionline,,
Mini Chip,21,,TELE_2021,ctw_email,chatbot,actionline,,
Pro 2,28,,TELE_2021,ctw_email,chatbot,actionline,,
Smart,27,,TELE_2021,ctw_email,chatbot,actionline,,
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,grupoelo,,
Mini Chip,21,,TELE_2021,ctw_email,chatbot,grupoelo,,
Pro 2,28,,TELE_2021,ctw_email,chatbot,grupoelo,,
Smart,27,,TELE_2021,ctw_email,chatbot,grupoelo,,
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,tel,,
Mini Chip,21,,TELE_2021,ctw_email,chatbot,tel,,
Pro 2,28,,TELE_2021,ctw_email,chatbot,tel,,
Smart,27,,TELE_2021,ctw_email,chatbot,tel,,