Device_Name,Device_ID,Cupon Origen,Cupon Link,utm_campaign,utm_source,utm_seller,Long url,Short URL
Pro 2,28,,TELE_2021,ctw_email,chatbot,takebilp,https://www.mercadopago.com.br/point/preference?device_id=28&qty=1&campaign_label=point_pro_2&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyOCIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGFrZWJpbHAiIAp9,http://mpago.li/1YptzXe
Pro 2,28,,TELE_2021,ctw_email,chatbot,callink,https://www.mercadopago.com.br/point/preference?device_id=28&qty=1&campaign_label=point_pro_2&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyOCIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiY2FsbGluayIgCn0=,http://mpago.li/2H2yRPj
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,callink,https://www.mercadopago.com.br/point/preference?device_id=35&qty=1&campaign_label=point_mini_newland_nfc&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIzNSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiY2FsbGluayIgCn0=,http://mpago.li/1Dx9vs6
Smart,27,,TELE_2021,ctw_email,chatbot,callink,https://www.mercadopago.com.br/point/preference?device_id=27&qty=1&campaign_label=point_smart&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyNyIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiY2FsbGluayIgCn0=,http://mpago.li/2L2KS1u
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,actionline,https://www.mercadopago.com.br/point/preference?device_id=35&qty=1&campaign_label=point_mini_newland_nfc&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIzNSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiYWN0aW9ubGluZSIgCn0=,http://mpago.li/2rgxQsi
Mini Chip,21,,TELE_2021,ctw_email,chatbot,callink,https://www.mercadopago.com.br/point/preference?device_id=21&qty=1&campaign_label=point_mini_chip&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyMSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiY2FsbGluayIgCn0=,http://mpago.li/1XAySCG
Mini Chip,21,,TELE_2021,ctw_email,chatbot,actionline,https://www.mercadopago.com.br/point/preference?device_id=21&qty=1&campaign_label=point_mini_chip&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyMSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiYWN0aW9ubGluZSIgCn0=,http://mpago.li/2Dxp6us
Smart,27,,TELE_2021,ctw_email,chatbot,takebilp,https://www.mercadopago.com.br/point/preference?device_id=27&qty=1&campaign_label=point_smart&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyNyIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGFrZWJpbHAiIAp9,http://mpago.li/1mL8Ujs
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,takebilp,https://www.mercadopago.com.br/point/preference?device_id=35&qty=1&campaign_label=point_mini_newland_nfc&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIzNSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGFrZWJpbHAiIAp9,http://mpago.li/27TLWww
Mini Chip,21,,TELE_2021,ctw_email,chatbot,takebilp,https://www.mercadopago.com.br/point/preference?device_id=21&qty=1&campaign_label=point_mini_chip&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyMSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGFrZWJpbHAiIAp9,http://mpago.li/1FD5Tav
Smart,27,,TELE_2021,ctw_email,chatbot,tel,https://www.mercadopago.com.br/point/preference?device_id=27&qty=1&campaign_label=point_smart&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyNyIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGVsIiAKfQ==,http://mpago.li/2Z95m37
Mini Chip,21,,TELE_2021,ctw_email,chatbot,tel,https://www.mercadopago.com.br/point/preference?device_id=21&qty=1&campaign_label=point_mini_chip&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyMSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGVsIiAKfQ==,http://mpago.li/254BQdd
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,grupoelo,https://www.mercadopago.com.br/point/preference?device_id=35&qty=1&campaign_label=point_mini_newland_nfc&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIzNSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiZ3J1cG9lbG8iIAp9,http://mpago.li/2Zr6m7S
Mini com NFC,35,,TELE_2021,ctw_email,chatbot,tel,https://www.mercadopago.com.br/point/preference?device_id=35&qty=1&campaign_label=point_mini_newland_nfc&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIzNSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGVsIiAKfQ==,http://mpago.li/1nhvBxn
Mini Chip,21,,TELE_2021,ctw_email,chatbot,grupoelo,https://www.mercadopago.com.br/point/preference?device_id=21&qty=1&campaign_label=point_mini_chip&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyMSIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiZ3J1cG9lbG8iIAp9,http://mpago.li/1YX5VbJ
Pro 2,28,,TELE_2021,ctw_email,chatbot,actionline,https://www.mercadopago.com.br/point/preference?device_id=28&qty=1&campaign_label=point_pro_2&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyOCIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiYWN0aW9ubGluZSIgCn0=,http://mpago.li/2pG4chJ
Smart,27,,TELE_2021,ctw_email,chatbot,actionline,https://www.mercadopago.com.br/point/preference?device_id=27&qty=1&campaign_label=point_smart&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyNyIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiYWN0aW9ubGluZSIgCn0=,http://mpago.li/2wXgaor
Smart,27,,TELE_2021,ctw_email,chatbot,grupoelo,https://www.mercadopago.com.br/point/preference?device_id=27&qty=1&campaign_label=point_smart&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyNyIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiZ3J1cG9lbG8iIAp9,http://mpago.li/2wgP6HN
Pro 2,28,,TELE_2021,ctw_email,chatbot,tel,https://www.mercadopago.com.br/point/preference?device_id=28&qty=1&campaign_label=point_pro_2&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyOCIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoidGVsIiAKfQ==,http://mpago.li/2WUUbTf
Pro 2,28,,TELE_2021,ctw_email,chatbot,grupoelo,https://www.mercadopago.com.br/point/preference?device_id=28&qty=1&campaign_label=point_pro_2&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyOCIsCiJ1dG1fY2FtcGFpZ24iOiJjdHdfZW1haWwiLCAKInV0bV9zb3VyY2UiOiJjaGF0Ym90IiwgCiJ1dG1fc2VsbGVyIjoiZ3J1cG9lbG8iIAp9,http://mpago.li/22QLDK3
